"Id_question","Pregunta","Categoria","Seccion","Type"
"111","Considero que el tiempo en el trabajo es mucho y perjudica mis actividades familiares o personales","5","2","2"
"112","Debo atender asuntos de trabajo cuando estoy en casa","5","2","2"
"113","Pienso en las actividades familiares o personales cuando estoy en mi trabajo","5","2","2"
"114","Pienso que mis responsabilidades familiares afectan mi trabajo","5","2","2"
"115","Mi trabajo permite que desarrolle nuevas habilidades","6","1","2"
"116","En mi trabajo puedo aspirar a un mejor puesto","6","1","2"
"117","Durante mi jornada de trabajo puedo tomar pausas cuando las necesito","6","1","2"
"118","Puedo decidir cu&aacute;nto trabajo realizo durante la jornada laboral","6","1","2"
"119","Puedo decidir la velocidad a la que realizo mis actividades en mi trabajo","6","1","2"
"120","Puedo cambiar el orden de las actividades que realizo en mi trabajo","6","1","2"
"121","Los cambios que se presentan en mi trabajo dificultan mi labor","7","2","2"
"122","Cuando se presentan cambios en mi trabajo se tienen en cuenta mis ideas o aportaciones","7","1","2"
"123","Me informan con claridad cu&aacute;les son mis funciones","8","1","2"
"124","Me explican claramente los resultados que debo obtener en mi trabajo","8","1","2"
"125","Me explican claramente los objetivos de mi trabajo","8","1","2"
"126","Me informan con qui&eacute;n puedo resolver problemas o asuntos de trabajo","8","1","2"
"127","Me permiten asistir a capacitaciones relacionadas con mi trabajo","8","1","2"
"128","Recibo capacitaci&oacute;n &uacute;til para hacer mi trabajo","8","1","2"
"129","Mi jefe ayuda a organizar mejor el trabajo","9","1","2"
"130","Mi jefe tiene en cuenta mis puntos de vista y opiniones","9","1","2"
"131","Mi jefe me comunica a tiempo la informaci&oacute;n relacionada con el trabajo","9","1","2"
"132","La orientaci&oacute;n que me da mi jefe me ayuda a realizar mejor mi trabajo","9","1","2"
"133","Mi jefe ayuda a solucionar los problemas que se presentan en el trabajo","9","1","2"
"134","Puedo confiar en mis compa&ntilde;eros de trabajo","10","1","2"
"135","Entre compa&ntilde;eros solucionamos los problemas de trabajo de forma respetuosa","10","1","2"
"136","En mi trabajo me hacen sentir parte del grupo","10","1","2"
"137","Cuando tenemos que realizar trabajo de equipo los compa&ntilde;eros colaboran","10","1","2"
"138","Mis compa&ntilde;eros de trabajo me ayudan cuando tengo dificultades","10","1","2"
"139","Me informan sobre lo que hago bien en mi trabajo","11","1","2"
"140","La forma como eval&uacute;an mi trabajo en mi centro de trabajo me ayuda a mejorar mi desempe&ntilde;o","11","1","2"
"141","En mi centro de trabajo me pagan a tiempo mi salario","11","1","2"
"142","El pago que recibo es el que merezco por el trabajo que realizo","11","1","2"
"143","Si obtengo los resultados esperados en mi trabajo me recompensan o reconocen","11","1","2"
"144","Las personas que hacen bien el trabajo pueden crecer laboralmente","11","1","2"
"145","Considero que mi trabajo es estable","11","1","2"
"146","En mi trabajo existe continua rotaci&oacute;n de personal","11","2","2"
"147","Siento orgullo de laborar en este centro de trabajo","11","1","2"
"148","Me siento comprometido con mi trabajo","11","1","2"
"149","En mi trabajo puedo expresarme libremente sin interrupciones","12","1","2"
"150","Recibo cr&iacute;ticas constantes a mi persona y/o trabajo","12","2","2"
"151","Recibo burlas, calumnias, difamaciones, humillaciones o ridiculizaciones","12","2","2"
"152","Se ignora mi presencia o se me excluye de las reuniones de trabajo y en la toma de decisiones","12","2","2"
"153","Se manipulan las situaciones de trabajo para hacerme parecer un mal trabajador","12","2","2"
"154","Se ignoran mis &eacute;xitos laborales y se atribuyen a otros trabajadores","12","2","2"
"155","Me bloquean o impiden las oportunidades que tengo para obtener ascenso o mejora en mi trabajo","12","2","2"
"156","He presenciado actos de violencia en mi centro de trabajo","12","2","2"
"157","Atiendo clientes o usuarios muy enojados","13","2","2"
"158","Mi trabajo me exige atender personas muy necesitadas de ayuda o enfermas","13","2","2"
"159","Para hacer mi trabajo debo demostrar sentimientos distintos a los m&iacute;os","13","2","2"
"160","Mi trabajo me exige atender situaciones de violencia","13","2","2"
"161","Comunican tarde los asuntos de trabajo","14","2","2"
"162","Dificultan el logro de los resultados del trabajo","14","2","2"
"163","Cooperan poco cuando se necesita","14","2","2"
"164","Ignoran las sugerencias para mejorar su trabajo","14","2","2"
